mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_split,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6471310456593832,0.07047738115511795,0.0035399595896402993,0.00015635816077500054,friedman_mse,squared_error,3,sqrt,2,0.6,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'subsample': 0.6}",-0.569477767597202,-0.5576488677098349,-0.559981912733082,-0.5623695160133729,0.005115740754728215,124
0.591203769048055,0.2129861386120835,0.0030533472696940103,0.0006735650291945452,friedman_mse,squared_error,3,sqrt,2,0.7,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'subsample': 0.7}",-0.5511023498399973,-0.581593499462194,-0.5592640292727289,-0.5639866261916401,0.012888101555690246,138
0.6356857617696127,0.0722494404590469,0.002998908360799154,0.0001505132459360537,friedman_mse,squared_error,3,sqrt,2,0.8,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'subsample': 0.8}",-0.5754038456499853,-0.5804248016987719,-0.5613907550475727,-0.5724064674654433,0.008054478669902942,213
0.3948109944661458,0.11004232853904314,0.002592960993448893,0.0004016860075780615,friedman_mse,squared_error,3,sqrt,5,0.6,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 5, 'subsample': 0.6}",-0.5810817740976393,-0.5903205416845108,-0.5701552199041915,-0.5805191785621139,0.008242064301633805,273
0.5756083329518636,0.21556472118838713,0.002990086873372396,0.0006555582134852091,friedman_mse,squared_error,3,sqrt,5,0.7,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 5, 'subsample': 0.7}",-0.5576609248204113,-0.5854376852556713,-0.5587785801019044,-0.5672923967259957,0.01283876707997945,167
0.6893885135650635,0.1675814217109279,0.003201166788736979,0.00036734216148575955,friedman_mse,squared_error,3,sqrt,5,0.8,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 5, 'subsample': 0.8}",-0.5506739713335106,-0.585394612602761,-0.5658403846563439,-0.5673029895308718,0.014212321937934445,168
0.48764459292093915,0.20859050945200022,0.0030407110850016275,0.000973217540135462,friedman_mse,squared_error,3,sqrt,10,0.6,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 10, 'subsample': 0.6}",-0.5816909340493535,-0.5909827296545417,-0.5596752076068731,-0.577449623770256,0.013128385756418472,250
0.4671641985575358,0.11512374129758177,0.002744754155476888,0.00046808719628263224,friedman_mse,squared_error,3,sqrt,10,0.7,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 10, 'subsample': 0.7}",-0.571055383467909,-0.5809381320525157,-0.5607641571376475,-0.5709192242193574,0.008236553505447818,197
0.6092909177144369,0.032956518838712395,0.0034124056498209634,0.0006291119060655187,friedman_mse,squared_error,3,sqrt,10,0.8,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 10, 'subsample': 0.8}",-0.5605297909535978,-0.5796695889883554,-0.5668048150352063,-0.5690013983257198,0.007966668095548704,182
0.7322123845418295,0.05991870763580119,0.003037134806315104,0.00016107139170367093,friedman_mse,squared_error,3,30,2,0.6,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 30, 'min_samples_split': 2, 'subsample': 0.6}",-0.552275403982248,-0.5846659310438839,-0.5601648081883812,-0.565702047738171,0.013790874451521907,153
0.9779266516367594,0.005774631619230613,0.0033165613810221353,0.00011736820342898998,friedman_mse,squared_error,3,30,2,0.7,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 30, 'min_samples_split': 2, 'subsample': 0.7}",-0.523063864425489,-0.5557023872560904,-0.52609576356341,-0.5349540050816631,0.014723442198021047,3
0.9317051569620768,0.33950786023636187,0.0029609998067220054,0.0005877032429331521,friedman_mse,squared_error,3,30,2,0.8,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 30, 'min_samples_split': 2, 'subsample': 0.8}",-0.5426169590985831,-0.5712314698269805,-0.5587970487393289,-0.5575484925549641,0.011715139079143955,83
0.6173401673634847,0.07339179533186797,0.0027850468953450522,0.00011674111346495543,friedman_mse,squared_error,3,30,5,0.6,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 30, 'min_samples_split': 5, 'subsample': 0.6}",-0.5568902881229478,-0.5925429476707036,-0.564837047250218,-0.5714234276812898,0.015282088395550945,205
0.6995355288187662,0.20797323099918252,0.0030247370402018228,0.0007725402216156172,friedman_mse,squared_error,3,30,5,0.7,"{'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 3, 'max_features': 30, 'min_samples_split': 5, 'subsample': 0.7}",-0.5515496581300949,-0.5675336741845449,-0.5291998191216052,-0.549427717145415,0.015721494546288444,45
