mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.168214480082194,0.13915839746320827,0.0076563358306884766,0.0002579024218052658,0.5,0.005,3,1,reg:squarederror,0.4,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.4}",-0.5133603679799124,-0.5475854800304909,-0.5093535121227674,-0.5234331200443902,0.01715645832019015,238
3.6249874432881675,0.13802293678891756,0.008262554804484049,0.0005662921360921881,0.5,0.005,3,1,reg:squarederror,0.5,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.5}",-0.5118857731837505,-0.557688957609823,-0.5148284369816956,-0.528134389258423,0.0209327367279916,283
4.070592721303304,0.27569650449474986,0.007779995600382487,0.0002093677458014857,0.5,0.005,3,1,reg:squarederror,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.6}",-0.5017521604220329,-0.5471833297014735,-0.5021261102061414,-0.517020533443216,0.0213288641391289,99
3.282517115275065,0.11900860742391438,0.0077524979909261065,0.0002522961530888428,0.5,0.005,3,2,reg:squarederror,0.4,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.4}",-0.5072201667388258,-0.5497111607722838,-0.5096234646846016,-0.5221849307319036,0.019488696987929245,224
3.7017624378204346,0.0825850407258004,0.008383830388387045,0.0005452843078553218,0.5,0.005,3,2,reg:squarederror,0.5,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.5}",-0.5062802079710746,-0.5572494668557576,-0.5048438639439276,-0.5227911795902532,0.02437274354677227,228
4.226155916849772,0.14751801664922862,0.007610241572062175,4.1468082227605465e-05,0.5,0.005,3,2,reg:squarederror,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.6}",-0.499439247959432,-0.5578447177933523,-0.5013420359468721,-0.5195420005665522,0.027095248793204168,151
3.465301036834717,0.15042748072271198,0.007749398549397786,0.00013118718576377568,0.5,0.005,3,5,reg:squarederror,0.4,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'subsample': 0.4}",-0.5160171288211438,-0.5517828114709008,-0.5151356379821763,-0.5276451927580736,0.017071667256386407,279
3.697554667790731,0.03535130968852448,0.007792870203653972,0.00037690814562025025,0.5,0.005,3,5,reg:squarederror,0.5,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'subsample': 0.5}",-0.5117594823397277,-0.5541176598179745,-0.5066139942273309,-0.5241637121283443,0.02128455227974077,248
4.076169331868489,0.014368754663430183,0.007580916086832683,3.5020939981840174e-05,0.5,0.005,3,5,reg:squarederror,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'subsample': 0.6}",-0.5025857901983984,-0.5514578884457164,-0.5052618678770584,-0.5197685155070577,0.022434387531489828,159
4.2916098435719805,0.1687822555393077,0.01102773348490397,0.0003502768612826785,0.5,0.005,4,1,reg:squarederror,0.4,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.4}",-0.5045399444757337,-0.554549878632663,-0.5150802755982633,-0.5247233662355534,0.021525028476548642,252
4.828933636347453,0.16608774448750385,0.011260509490966797,0.0006481062822434667,0.5,0.005,4,1,reg:squarederror,0.5,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.5}",-0.5243725202637596,-0.5701006538037972,-0.5137191935260498,-0.5360641225312022,0.024457274833851964,312
5.040313641230266,0.10658019692715924,0.010535478591918945,0.00017189312673711123,0.5,0.005,4,1,reg:squarederror,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.6}",-0.49437264371749834,-0.5526216169331748,-0.5054133693449161,-0.5174692099985297,0.02526187101237939,105
4.173858880996704,0.045802259839045414,0.010705232620239258,0.00020212337266685952,0.5,0.005,4,2,reg:squarederror,0.4,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 4, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.4}",-0.49985736894883814,-0.54519535647097,-0.5188513065665282,-0.5213013439954454,0.018590056314986718,203
4.480228583017985,0.16362466059367234,0.015767733256022137,0.006883854098666009,0.5,0.005,4,2,reg:squarederror,0.5,"{'colsample_bytree': 0.5, 'gamma': 0.005, 'max_depth': 4, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.5}",-0.5263476593146517,-0.5714372902116305,-0.5251972394101873,-0.5409940629788231,0.02153173517934871,321
